,song_title,lyrics
0,un día remix,you know that sometimes i think about us now and then but i never wanna fall again ah youre deepin the water yeah youre drowninus you question my love like its not enough but i hate that you know you know you know you got me tied up you regret it now but its your mistake what makes you think that my mind will change and you hate that you know you know you know you know you messed up one day youll love me again one day youll love me for sure one day youll wakeupfeelin how ive been feelin baby youll knock at my door one day youll love me again hug me again till the end one day youll beg me to try one day youll realize im more than your lover im more than your lover im your friend acércate un poquito na má que yo quiero que te quedes conmigo deja a tus amiga allá atrás que no vamos en un viaje escondido no vamo pa turks and caicos y ahí calmamo las ganas suéltate conmigo mamá que ya no hay marcha atrás una noche sin ti no es tan fácil baby que yo soy pa ti y tú eres pa mí nunca me dejes de querer oh na na na contigo por siempre baby no quiero dejarte esta vez one day youll love me again one day youll love me for sure one day youll wakeupfeelin how ive been feelin baby youll knock at my door one day youll love me again hug me again till the end one day youll beg me to try one day youll realize im more than your lover im more than your lover im your friend yeah yeah yeah yo sé que estoy en tu corazón quizá en el fondo otra baby me escribe nunca le respondo la vida da vuelta y el mundo es redondo y yo voy a que te beso de nuevo en london o si no en marbella encima de la arena viendo la estrella yo sé que ni la ola han borrao mi huella pero tu pichaera e lo que me atropella sol playa y en la arena vamo allá baby no te quede callá yo sé que tú quiere guayar conmigo otra vez me tienes en depresión fumando en la habitación eh pero yo sé que one day youll wakeupfeelin how ive been feelin baby youll knock at my door one day youll love me again hug me again till the end one day youll beg me to try one day youll realize im more than your lover im more than your lover im your friend one day youll love me again one day youll realize im more than your lover im more than your lover im your friend
1,future nostalgia,future you want a timeless song i wanna change the game like modern architecture john lautner coming your way i know you like this beatcausejeffs been dointhe damn thing you wanna turn itup loud future nostalgia is the name i know youre dying trying to figure me out my names on the tip of your tongue keep running your mouth you want the recipe but cant handle my sound my sound my sound no matter what you do im gonna get it without ya i know you aint used to a female alpha no matter what you do im gonna get it without ya i know you aint used to a female alpha cant be a rolling stone if you live in a glass house you keep on talking that talk one day youre gonna blast out you cant be bitter if im out here showing my face you want what now looks like let me give you a taste i know youre dying trying to figure me out my names on the tip of your tongue keep running your mouth you want the recipe but cant handle my sound my sound my sound no matter what you do im gonna get it without ya i know you aint used to a female alpha no matter what you do im gonna get it without ya i know you aint used to a female alpha you cant get with this if you aint built for this you cant get with this if you aint built for this i cant build you up if you aint tough enough i cant teach a man how to wear his pants i know youre dying trying to figure me out my names on the tip of your tongue keep running your mouth you want the recipe but cant handle my sound my sound my sound i know youre dying trying to figure me out my names on the tip of your tongue keep running your mouth you want the recipe but cant handle my sound my sound my sound my sound my sound my sound
2,that kind of woman,one look was enough enough for me the whole room stops and its not me to be one to be one one of many cause its a hundred othersspeaking ivebeen tryna makea step a hundred others speaking i cantmake you understand theres only one out here for ya one out here for ya ill be the first to say baby whats your name cause i want ya that kind of woman hard to pretend now i cant sit still let me show ya that kind of woman hard to pretend now i cant sit still any longer that kind of woman ill pick you from the crowd dont come to me i want you to myself no i wont be wont be one wont be one one of many cause its a hundred others speaking ive been tryna make a step a hundred others speaking i cant make you understand theres only one out here for ya one out here for ya ill be the first to say baby whats your name cause i want ya that kind of woman hard to pretend now i cant sit still let me show ya that kind of woman hard to pretend now i cant sit still any longer that kind of woman keep you close next to me i wont let you go reminisce that you once met a girl like this ill be the first to say baby whats your name cause i want ya that kind of woman hard to pretend now i cant sit still any longer that kind of woman
3,if it aint me,i bet were higher than the people on cloud 9 this connection got me feeling like ive known you my whole life wow even our shadows knoweachother in thelight so why do i think oflosing you when youre right by my side uh im not really thinking clear too good to be true and thats what i fear like what if you left me here and i fill the floor with my sequin tears i start getting in my brain something i do that i cant explain wicked loves creepin up so baby dont you let go the thought of you with someone kills me ill be dancing with my heart broke such a sad disco if it aint me and baby if you ever find another lover youll see ill be dancing with my heart broke such a sad disco if it aint me i got a little devil dancing in my mind playing tricks on my imagination ruining my night wow i try to shake it off by looking in your eyes all the voices in my head keep tryna tell me its goodbye uh im not really thinking clear too good to be true and thats what i fear like what if you left me here and i fill the floor with my sequin tears i start getting in my brain something i do that i cant explain wicked loves creepin up so baby dont you let go the thought of you with someone kills me ill be dancing with my heart broke such a sad disco if it aint me and baby if you ever find another lover youll see ill be dancing with my heart broke such a sad disco if it aint me im not really thinking clear too good to be true and thats what i fear like what if you left me here like what if you left me here and i fill the floor with my sequin tears so baby dont you let go the thought of you with someone kills me ill be dancing with my heart broke such a sad disco if it aint me and baby if you ever find another lover youll see ill be dancing with my heart broke such a sad disco if it aint me
4,levitating remix,woohoo if you wanna run away with me i know a galaxy and i can take you for a ride i had a premonition that we fell into a rhythm where the music dont stop for life glitter in the sky glitter in my eyes shining just the way i like if youre feeling like you need a little bit of company you met me at the perfect time you want me i want you baby my sugarboo im levitating the milky way is liberating yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me i got you moonlight youre my starlight i need you all night come on dance with me i believe that youre for me i feel it in our energy i see it written in the stars we can go wherever so lets do it now or never baby nothings ever ever too far glitter in the sky glitter in our eyes shining just the way we are i feel like were forever every time we get together no were never gonna be apart you want me i want you baby my sugarboo im levitating the milky way is liberating yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me i got you moonlight youre my starlight i need you all night come on dance with me you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride lets go boy im advanced got my real tight pants when i back it up i put you in a trance if you wanna dance then show me all your bands cause tonight i might give you a chance pull up in the coupe ooh that dude he look hella cute yeah he lookin at me like ooh suck my breasts like betty boop oh my my my get to stuttering like i i i im a freak i like to play shy but i will get it poppin anything ill try it say im on his top five list on a major key like khaled dont speak open up your eyelids i can be your girl if you keep it private you want me i want you baby my sugarboo im levitating the milky way is liberating yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride i got you moonlight youre my starlight i need you all night come on dance with me i got you moonlight youre my starlight i need you all night come on dance with me im levitating woohoo im levitating come on come on come on dance with me im levitating im levitating come on come on come on dance with me im levitating
5,not my problem,we doin good we doin good thats your problem pulling me down like an anchor sayin its my fault youre angered telling me no one will love me telling me im gon be lonely you and me on for a good run thinking that you were a good one under your palm yeah you like that now its my turn to bite back ooh did it to yourself playing with my mind putting me through hell ooh id be broken too if you left me like like i left you not my problem not my problem call it what you want but youre not my problem cryin all the time but youre not my problem if you got issues not my problem not my problem call it what you want but youre not my problem cryin all the time but youre not my problem if you got issues doin it all for reaction doing the most in your caption making me seem like the bad guy try to bring me down but nice try i used to like you how did i like you i used to like you and now i dont ooh id be broken too if you left me like like i left you not my problem not my problem call it what you want but youre not my problem cryin all the time but youre not my problem if you got issues not my problem not my problem call it what you want but youre not my problem cryin all the time but youre not my problem if you got issues i thought i liked you i thought you was cool but im a thot when i be drinking dont be thinking shit through nevertheless you got the clue and now you blue cause i aint speaking to you aww booboo youll be cool dont boo hoo boo whats the issue gggs listening this bd she trippin im dippin im dippin im done with it im stupid im dumb come with it i heard em all ima call you one name not my problem not my problem call it what you want but youre not my problem cryin all the time but youre not my problem if you got issues not my problem not my problem call it what you want but youre not my problem cryin all the time but youre not my problem if you got issues
6,were good,im on an island even when youre close cant take the silence id rather be alone i think its pretty plain and simple we gave it all we could its time i wave goodbye from the window lets end this like we should and say were good were not meant to be like sleeping and cocaine so lets at least agree to go our separate ways not gonna judge you when youre with somebody else as long as you swear you wont be pissed when i do it myself lets end it like we should and say were good no need to hide it go get what you want this wont be a burden if we both dont hold a grudge i think its pretty plain and simple we gave it all we could its time i wave goodbye from the window lets end this like we should and say were good were not meant to be like sleeping and cocaine so lets at least agree to go our separate ways not gonna judge you when youre with somebody else as long as you swear you wont be pissed when i do it myself lets end it like we should and say were good now youre holding this against me like i knew you would im trying my best to make this easy so dont give me that look just say were good were not meant to be like sleeping and cocaine so lets at least agree to go our separate ways not gonna judge you when youre with somebody else as long as you swear you wont be pissed when i do it myself lets end it like we should and say were good
7,prisoner,prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go strung out on a feeling my hands are tied your face on my ceiling i fantasize oh i cant control it i cant control it i try to replace it with city lights ill never escape it i need the high oh i cant control it i cant control it you keep making it harder to stay but i still cant run away i gotta know why cant you why cant you just let me go prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go i tasted heaven now i cant live without it i cant forget you and your love is the loudest oh i cant control it i cant control it you keep making it harder to stay but i still cant i gotta know why cant you why cant you just let me go prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go cant get you off my mind million times i wanna know why cant you why cant you i gotta know why cant you just let me go
8,good in bed,yeah lets get to the point here you love to disappoint me dont ya you tell me what i want but aint no follow through you dont followthrough no but if youonly knew me the way you knowmy body baby then i think maybe we could probably see this through we could make it through but ive been thinking itd be better if we didnt know each other then you go and make me feel okay got me thinking itd be better if we didnt stay together then you put your hands up on my waist i know its really bad bad bad bad bad messing with my head head head head head we drive each other mad mad mad mad mad but baby thats what makes us good in bed please come take it out on me me me me me i know its really bad bad bad bad but baby thats what makes us good in bed its bad we drive each other mad it might be kinda sad but i think thats what makes us good in bed i dedicate this verse to all that good pipe in the moonlight in the long nights where we did everything but talk it through thats what we do yeah you always let me down boy but when youre going down i get so up dont know if i can find someone who do me like you do ive been thinking itd be better if we didnt know each other then you go and make me feel okay got me thinking itd be better if we didnt stay together then you put your hands up on my waist i know its really bad bad bad bad bad messing with my head head head head head we drive each other mad mad mad mad mad but baby thats what makes us good in bed please come take it out on me me me me me i know its really bad bad bad bad but baby thats what makes us good in bed its bad we drive each other mad it might be kinda sad but i think thats what makes us good in bed its bad we drive each other mad it might be kinda sad but i think thats what makes us good in bed yeah we dont know how to talk but damn we know how to fuck i know its really bad bad bad bad bad messing with my head head head head head we drive each other mad mad mad mad mad but baby thats what makes us good in bed please come take it out on me me me me me i know its really bad bad bad bad but baby thats what makes us good in bed its bad we drive each other mad it might be kinda sad but i think thats what makes us good in bed its bad we drive each other mad it might be kinda sad but i think thats what makes us good in bed
9,break my heart,ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know justwhati like now imfalling you say my name like ihave never heard before im indecisive but this time i know for sure i hope im not the only one that feels it all are you falling centre of attention you know you can get whatever you want from me whenever you want it baby its you in my reflection im afraid of all the things it could do to me if i wouldve known it baby i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart i wonder when you go if i stay on your mind two can play that game but you win me every time everyone before you was a waste of time yeah you got me centre of attention you know you can get whatever you want from me whenever you want it baby its you in my reflection im afraid of all the things it could do to me if i wouldve known it baby i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart ooh break my heart ooh break my heart ooh am i falling in love with the one that could break my heart i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart
