,song_title,lyrics
0,eraser,i was born inside a small town i lost that state of mind learned to sing inside the lords house but stopped the age of nine i forget when i get awards now the wave i had to ride the paving stones i played upon that kept me on the grind so blame it on the pain that blessed me with the life friends and family filled with envy when they should be filled with pride and when the worlds against me is when i really come alive and every day that satan tempts me i try to take it in my stride you know that ive got whisky with white lies and smoke in my lungs i think life has got to the point i know without its no fun i need to get in the right mind and clear myself up instead i look in the mirror questioning what ive become guess its a stereotypical day for someone like me without a nine to five job or a uni degree to be caught up in the trappings of the industry show me the locked doors ill find another use for the key and youll see im well aware of certain things that can destroy a man like me but with that said give me one more another one to take the sting away i am happy on my own so here ill stay save your lovin arms for a rainy day and ill find comfort in my pain eraser i used to think that nothing could be better than touring the world with my songs i chased the pictured perfect life i think they painted it wrong i think that money is the root of all evil and fame is hell relationships and hearts you fixed they break as well and aint nobody wanna see you down in the dumps because youre living your dream man this shit should be fun please know that im not trying to preach like im reverend run i beg you dont be disappointed with the man ive become conversations with my father on the a14 age 12 telling me ive gotta chase those dreams now im playing for the people dad and they know me with my beaten small guitar wearing the same old jeans wembley stadium crowds 240 thou i may have grown up but i hope that damians proud and to the next generation inspirations allowed the world may be filled with hate but keep erasing it now somehow im well aware of certain things that will befall a man like me but with that said give me one more another one to take the sting away oh i am happy on my own so here ill stay save your lovin arms for a rainy day and ill find comfort in my pain eraser and ill find comfort in my pain eraser and ill find comfort in my pain eraser welcome to the new show i guess you know ive been away but where im heading who knows but my heart will stay the same welcome to the new show i guess you know ive been away but where im heading who knows my pain eraser and ill find comfort in my pain eraser and ill find comfort in my pain eraser and ill find comfort in my pain eraser and ill find comfort in my pain eraser
1,bibia be ye ye,bibia be ye ye i lost my shoes last night i dont know where i put my keys i was tired and fell asleep beneath an oak tree i bet my mothers proud of me from each scar upon my knuckle and each graze upon my knee and all i know is i got a cab and then threw up on his car seat he kicked me out and then i walked in the rain i tell myself in every way i wont be doing this again and tomorrows a brand new day someone told me always say whats on your mind and i am only being honest with you i i get lonely and make mistakes from time to time se enioma enko ye bibia be ye ye bibia be ye ye ye ye ye ye bibia be ye ye i remember less and less and mostly things that i regret in my phone are several texts from girls ive never met and in the pocket of my jeans are only coins and broken dreams my heart is breaking at the seams and im coming apart now now things are looking up ill find my shoes right next to the oak tree and ill get a bus straight into town and spend the afternoon looking around for the things that i left on the ground and say youre with me tomorrows a brand new day someone told me always say whats on your mind and i am only being honest with you i i get lonely and make mistakes from time to time se enioma enko ye bibia be ye ye wo nooma wo nooma maaaa ye wo nooma wo nooma maaaa ye wo nooma wo nooma maaaa ye wo nooma wo nooma maaaa ye someone told me always say whats on your mind and i am only being honest with you i i get lonely and make mistakes from time to time se enioma enko ye bibia be ye ye bibia be ye ye ye ye ye ye bibia be ye ye wo nooma wo nooma maaaa ye wo nooma wo nooma maaaa ye bibia be ye ye wo nooma wo nooma maaaa ye wo nooma wo nooma maaaa ye
2,save myself,i gave all my oxygen to people that could breathe i gave away my money and now we dont even speak i drove miles and miles but would you do the same for me oh honestly offered off my shoulder just for you to cry upon gave you constant shelter and a bed to keep you warm they gave me the heartache and in return i gave a song it goes on and on life can get you down so i just numb the way it feels i drown it with a drink and out of date prescription pills and all the ones that love me they just left me on the shelf no farewell so before i save someone else ive got to save myself i gave you all my energy and i took away your pain cause human beings are destined to radiate or drain what line do we stand upon cause from here it looks the same and only scars remain life can get you down so i just numb the way it feels i drown it with a drink and out of date prescription pills and all the ones that love me they just left me on the shelf no farewell so before i save someone else ive got to save myself but if i dont then ill go back to where im rescuing a stranger just because they needed saving just like that oh im here again between the devil and the danger but i guess its just my nature my dad was wrong cause im not like my mum cause shed just smile and im complaining in a song but it helps so before i save someone else ive got to save myself life can get you down so i just numb the way it feels i drown it with a drink and out of date prescription pills and all the ones that love me they just left me on the shelf no farewell so before i save someone else ive got to save myself and before i blame someone else ive got to save myself and before i love someone else ive got to love myself
3,nancy mulligan,i was twenty four years old when i met the woman i would call my own twenty two grand kids now growing old in that house that your brother bought ya on the summer day when i proposed i made that wedding ring from dentist gold and i asked her father but her daddy said no you cant marry my daughter she and i went on the run dont care about religion im gonna marry the woman i love down by the wexford border she was nancy mulligan and i was william sheeran she took my name and then we were one down by the wexford border well i met her at guys in the second world war and she was working on a soldiers ward never had i seen such beauty before the moment that i saw her nancy was my yellow rose and we got married wearing borrowed clothes we got eight children now growing old five sons and three daughters she and i went on the run dont care about religion im gonna marry the woman i love down by the wexford border she was nancy mulligan and i was william sheeran she took my name and then we were one down by the wexford border from her snow white streak in her jet black hair over sixty years ive been loving her now were sat by the fire in our old armchairs you know nancy i adore ya from a farm boy born near belfast town i never worried about the king and crown cause i found my heart upon the southern ground theres no difference i assure ya she and i went on the run dont care about religion im gonna marry the woman i love down by the wexford border she was nancy mulligan and i was william sheeran she took my name and then we were one down by the wexford border
4,perfect duet,i found a love for me oh darling just dive right in and follow my lead well i found a girl beautiful and sweet oh i never knew you were the someone waitin for me cause we were just kids when we fell in love not knowin what it was i will not give you up this time but darling just kiss me slow your heart is all i own and in your eyes youre holding mine baby im dancing in the dark with you between my arms barefoot on the grass listening to our favourite song when you said you looked a mess i whispered underneath my breath but you heard it darling you look perfect tonight well i found a man stronger than anyone i know he shares my dreams i hope that someday well share a home i found a love to carry more than just my secrets to carry love to carry children of our own we are still kids but were so in love fightin against all odds i know well be alright this time darling just hold my hand be your girl youll be my man and i see my future in your eyes well baby im dancing in the dark with you between my arms barefoot on the grass an angel in person and he looks perfect
5,how would you feel remix,you are the one girl and you know that its true im feeling younger every time that im alone with you we were sitting in a parked car stealing kisses in a front yard we got questions we should not ask but how would you feel if i told you i loved you its just something that i want to do ill be taking my time spending my life falling deeper in love with you so tell me that you love me too in the summer as the lilacs bloom love flows deeper than the river every moment that i spend with you we were sat upon our best friends roof i had both of my arms around you watching the sunrise replace the moon but how would you feel if i told you i loved you its just something that i want to do ill be taking my time spending my life falling deeper in love with you so tell me that you love me too yeah we were sitting in a parked car stealing kisses in a front yard we got questions we should not ask how would you feel if i told you i loved you its just something that i want to do ill be taking my time spending my life falling deeper in love with you tell me that you love me too tell me that you love me too tell me that you love me too
6,what do i know,aint got a soapbox i can stand upon but god gave me a stage a guitar and a song my daddy told me son dont you get involved in politics religions other peoples quarrels ill paint the picture let me set the scene i know when i have children they will know what it means and i pass on these things my familys given to me just love and understanding positivity we could change this whole world with a piano add a bass some guitar grab a beat and away we go im just a boy with a one man show no university no degree but lord knows everybodys talking bout exponential growth and the stock market crashing and their portfolios while ill be sitting here with a song that i wrote sing love could change the world in a moment but what do i know love can change the world in a moment but what do i know love can change the world in a moment the revolutions coming its a minute away i saw people marching in the streets today you know we are made up of love and hate but both of them are balanced on a razor blade ill paint the picture let me set the scene i know im all for people following their dreams just re remember life is more than fittin in your jeans its love and understanding positivity we could change this whole world with a piano add a bass some guitar grab a beat and away we go im just a boy with a one man show no university no degree but lord knows everybodys talking bout exponential growth and the stock market crashing and their portfolios while ill be sitting here with a song i wrote sing love could change the world in a moment but what do i know love can change the world in a moment but what do i know love can change the world in a moment ill paint the picture let me set the scene you know the futures in the hands of you and me so lets all get together we can all be free spread love and understanding positivity we could change this whole world with a piano add a bass some guitar grab a beat and away we go im just a boy with a one man show no university no degree but lord knows everybodys talking bout exponential growth and the stock market crashing and their portfolios while ill be sitting here with a song i wrote sing love could change the world in a moment but what do i know love can change the world in a moment but what do i know love can change the world in a moment
7,supermarket flowers,i took the supermarket flowers from the windowsill i threw the day old tea from the cup packed up the photo album matthew had made memories of a life thats been loved took the get well soon cards and stuffed animals poured the old ginger beer down the sink dad always told me dont you cry when youre down but mum theres a tear every time that i blink oh im in pieces its tearing me up but i know a heart thats broke is a heart thats been loved so ill sing hallelujah you were an angel in the shape of my mum when i fell down youd be there holding me up spread your wings as you go when god takes you back hell say hallelujah youre home i fluffed the pillows made the beds stacked the chairs up folded your nightgowns neatly in a case john says hed drive then put his hand on my cheek and wiped a tear from the side of my face i hope that i see the world as you did cause i know a life with love is a life thats been lived so ill sing hallelujah you were an angel in the shape of my mum when i fell down youd be there holding me up spread your wings as you go when god takes you back hell say hallelujah youre home hallelujah you were an angel in the shape of my mum you got to see the person i have become spread your wings and i know that when god took you back he said hallelujah youre home
8,new man,nah nah nah nah nah i heard he spent five hundred pounds on jeans goes to the gym at least six times a week wears boat shoes with no socks on his feet and i hear hes on a new diet and watches what he eats hes got his eyebrows plucked and his arsehole bleached owns every single ministry cd tribal tattoos and he dont know what it means but i heard he makes you happy so thats fine by me but still im just keepin it real still lookin at your instagram and ill be creepin a lil ill be tryin not to double tap from way back cause i know thats where the troubles at let me remind you of the days when you used to hold my hand and when we sipped champagne out of cider cans i guess if you were lois lane i wasnt superman just a young boy tryin to be loved so let me give it to ya i dont wanna know about your new man cause if it was meant to be you wouldnt be callin me up tryin to cause im positive that he dont wanna know about me i dont wanna know about your new man well get there eventually i know youre missin all this kind of love but im positive that he dont wanna know about me your new man rents a house in the burb and wears a man bag on his shoulder but i call it a purse every year he goes to málaga with all the fellas drinks beer but has a six pack im kinda jealous he wears sunglasses indoors in winter at nighttime and every time a rap song comes on he makes a gang sign says chune bwoydem light up the room but enough about him girl lets talk about you you were the type of girl who sat beside the water readin eatin a packet of crisps but you will never find you cheatin now youre eatin kale hittin the gym keepin up with kylie and kim in the back of the club kissin a boy that aint him okay you need to be alone and if you wanna talk about it you can call my phone i just thought i would tell you cause you oughta know youre still a young girl tryin to be loved so let me give it to ya i dont wanna know about your new man cause if it was meant to be you wouldnt be callin me up tryin to cause im positive that he dont wanna know about me i dont wanna know about your new man well get there eventually i know youre missin all this kind of love but im positive that he dont wanna know about me baby im not tryin to ruin your week but you act so differently when youre with him i know youre lonely please remember youre still free to make the choice and leave dont call me up you need to show me i dont wanna know about your new man cause if it was meant to be you wouldnt be callin me up tryin to cause im positive that he dont wanna know about me i dont wanna know about your new man well get there eventually i know youre missin all this kind of love but im positive that he dont wanna know about me but im positive that he dont wanna know about but im positive that he dont wanna know about i dont wanna know about your new man
9,barcelona,well get up up on the dancefloor tonight ive got two left feet and a bottle of red wine making me feel like the beat and the bassline are in my blood both hands up on her waistline get on up baby dance to the rhythm of the music dont care what the dj chooses get lost in the rhythm of me place dont close until we wanna leave it and you and i were flying on an aeroplane tonight were going somewhere where the sun is shining bright just close your eyes and lets pretend were dancing in the street in barcelona barcelona barcelona barcelona well get up up on the dancefloor move its a saturday night i fell in love with the sparkle in the moonlight reflected in your beautiful eyes i guess that is destiny doing it right and dance like they do in the mediterranean spin you around me again and again and youre like something that god has sent me i want you baby solamente and you and i were flying on an aeroplane tonight were going somewhere where the sun is shining bright just close your eyes and lets pretend were dancing in the street in barcelona barcelona barcelona barcelona barcelona barcelona oh barcelona so lets pretend were dancing in the street in barcelona las ramblas ill meet you well dance around la sagrada familia drinking sangría mi niña te amo mi cariño mamacita rica sí tú te adoro señorita nosotros vivir la vida come on lets be free in barcelona las ramblas ill meet you come on and dance with me in barcelona drinking sangría i just want to be in barcelona mamacita rica feel that summer breeze in barcelona los otros viva la vida siempre vida barcelona
